#==============================================================================
#
# シーンデータスクリプト
# Author : masayasu wakita
#
#==============================================================================
SCRIPT

FIELDSET
	POS = 0.00 0.00 0.00
	VERTEXINFO
		13631.00, -5000.00, -6054.00, 1.00, 1.00, 1.00, 1.00
		13631.00, -2000.00, -6054.00, 1.00, 1.00, 1.00, 1.00
		14143.00, -5000.00, -3603.00, 1.00, 1.00, 1.00, 1.00
		14143.00, -2000.00, -3603.00, 1.00, 1.00, 1.00, 1.00
		13380.00, -5000.00, -483.00, 1.00, 1.00, 1.00, 1.00
		13380.00, -2000.00, -483.00, 1.00, 1.00, 1.00, 1.00
		13904.00, -5000.00, 1038.00, 1.00, 1.00, 1.00, 1.00
		13904.00, -2000.00, 1038.00, 1.00, 1.00, 1.00, 1.00
		15139.00, -5000.00, 2033.00, 1.00, 1.00, 1.00, 1.00
		15139.00, -2000.00, 2033.00, 1.00, 1.00, 1.00, 1.00
		17361.00, -5000.00, 3099.00, 1.00, 1.00, 1.00, 1.00
		17361.00, -2000.00, 3099.00, 1.00, 1.00, 1.00, 1.00
		21372.00, -5000.00, 4460.00, 1.00, 1.00, 1.00, 1.00
		21372.00, -2000.00, 4460.00, 1.00, 1.00, 1.00, 1.00
		23328.00, -5000.00, 5991.00, 1.00, 1.00, 1.00, 1.00
		23328.00, -2000.00, 5991.00, 1.00, 1.00, 1.00, 1.00
		24077.00, -5000.00, 10113.00, 1.00, 1.00, 1.00, 1.00
		24077.00, -2000.00, 10113.00, 1.00, 1.00, 1.00, 1.00
		21768.00, -5000.00, 14382.00, 1.00, 1.00, 1.00, 1.00
		21768.00, -2000.00, 14382.00, 1.00, 1.00, 1.00, 1.00
		18373.00, -5000.00, 14854.00, 1.00, 1.00, 1.00, 1.00
		18373.00, -2000.00, 14854.00, 1.00, 1.00, 1.00, 1.00
		13089.00, -5000.00, 15125.00, 1.00, 1.00, 1.00, 1.00
		13089.00, -2000.00, 15125.00, 1.00, 1.00, 1.00, 1.00
		9230.00, -5000.00, 14893.00, 1.00, 1.00, 1.00, 1.00
		9230.00, -2000.00, 14893.00, 1.00, 1.00, 1.00, 1.00
		4674.00, -5000.00, 14477.00, 1.00, 1.00, 1.00, 1.00
		4674.00, -2000.00, 14477.00, 1.00, 1.00, 1.00, 1.00
		-1911.00, -5000.00, 13568.00, 1.00, 1.00, 1.00, 1.00
		-1911.00, -2000.00, 13568.00, 1.00, 1.00, 1.00, 1.00
		-4842.00, -5000.00, 12912.00, 1.00, 1.00, 1.00, 1.00
		-4842.00, -2000.00, 12912.00, 1.00, 1.00, 1.00, 1.00
		-7080.00, -5000.00, 12611.00, 1.00, 1.00, 1.00, 1.00
		-7080.00, -2000.00, 12611.00, 1.00, 1.00, 1.00, 1.00
		-11011.00, -5000.00, 11731.00, 1.00, 1.00, 1.00, 1.00
		-11011.00, -2000.00, 11731.00, 1.00, 1.00, 1.00, 1.00
		-13194.00, -5000.00, 10443.00, 1.00, 1.00, 1.00, 1.00
		-13194.00, -2000.00, 10443.00, 1.00, 1.00, 1.00, 1.00
		-13293.00, -5000.00, 8753.00, 1.00, 1.00, 1.00, 1.00
		-13293.00, -2000.00, 8753.00, 1.00, 1.00, 1.00, 1.00
		-12238.00, -5000.00, 6626.00, 1.00, 1.00, 1.00, 1.00
		-12238.00, -2000.00, 6626.00, 1.00, 1.00, 1.00, 1.00
		-12853.00, -5000.00, 4833.00, 1.00, 1.00, 1.00, 1.00
		-12853.00, -2000.00, 4833.00, 1.00, 1.00, 1.00, 1.00
		-14794.00, -5000.00, 2957.00, 1.00, 1.00, 1.00, 1.00
		-14794.00, -2000.00, 2957.00, 1.00, 1.00, 1.00, 1.00
		-14989.00, -5000.00, 1480.00, 1.00, 1.00, 1.00, 1.00
		-14989.00, -2000.00, 1480.00, 1.00, 1.00, 1.00, 1.00
		-14529.00, -5000.00, -124.00, 1.00, 1.00, 1.00, 1.00
		-14529.00, -2000.00, -124.00, 1.00, 1.00, 1.00, 1.00
		-15161.00, -5000.00, -2241.00, 1.00, 1.00, 1.00, 1.00
		-15161.00, -2000.00, -2241.00, 1.00, 1.00, 1.00, 1.00
		-16823.00, -5000.00, -4375.00, 1.00, 1.00, 1.00, 1.00
		-16823.00, -2000.00, -4375.00, 1.00, 1.00, 1.00, 1.00
		-19340.00, -5000.00, -7121.00, 1.00, 1.00, 1.00, 1.00
		-19340.00, -2000.00, -7121.00, 1.00, 1.00, 1.00, 1.00
		-19396.00, -5000.00, -12592.00, 1.00, 1.00, 1.00, 1.00
		-19396.00, -2000.00, -12592.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -5000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -2000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -5000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -2000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -5000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -2000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -5000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -2000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
	END_VERTEXINFO
END_FIELDSET

END_SCRIPT
