#==============================================================================
#
# シーンデータスクリプト
# Author : masayasu wakita
#
#==============================================================================
SCRIPT

FIELDSET
	POS = 0.00 0.00 0.00
	VERTEXINFO
		26694.00, -2000.00, 13145.00, 1.00, 1.00, 1.00, 1.00
		27250.00, -5000.00, 10299.00, 1.00, 1.00, 1.00, 1.00
		27250.00, -2000.00, 10299.00, 1.00, 1.00, 1.00, 1.00
		26458.00, -5000.00, 6186.00, 1.00, 1.00, 1.00, 1.00
		26458.00, -2000.00, 6186.00, 1.00, 1.00, 1.00, 1.00
		24921.00, -5000.00, 3856.00, 1.00, 1.00, 1.00, 1.00
		24921.00, -2000.00, 3856.00, 1.00, 1.00, 1.00, 1.00
		21584.00, -5000.00, 1467.00, 1.00, 1.00, 1.00, 1.00
		21584.00, -2000.00, 1467.00, 1.00, 1.00, 1.00, 1.00
		17100.00, -5000.00, 544.00, 1.00, 1.00, 1.00, 1.00
		17100.00, -2000.00, 544.00, 1.00, 1.00, 1.00, 1.00
		15697.00, -5000.00, -1353.00, 1.00, 1.00, 1.00, 1.00
		15697.00, -2000.00, -1353.00, 1.00, 1.00, 1.00, 1.00
		16608.00, -5000.00, -4390.00, 1.00, 1.00, 1.00, 1.00
		16608.00, -2000.00, -4390.00, 1.00, 1.00, 1.00, 1.00
		15769.00, -5000.00, -6579.00, 1.00, 1.00, 1.00, 1.00
		15769.00, -2000.00, -6579.00, 1.00, 1.00, 1.00, 1.00
		13755.00, -5000.00, -8894.00, 1.00, 1.00, 1.00, 1.00
		13755.00, -2000.00, -8894.00, 1.00, 1.00, 1.00, 1.00
		12705.00, -5000.00, -10611.00, 1.00, 1.00, 1.00, 1.00
		12705.00, -2000.00, -10611.00, 1.00, 1.00, 1.00, 1.00
		13555.00, -5000.00, -13264.00, 1.00, 1.00, 1.00, 1.00
		13555.00, -2000.00, -13264.00, 1.00, 1.00, 1.00, 1.00
		14725.00, -5000.00, -15907.00, 1.00, 1.00, 1.00, 1.00
		14725.00, -2000.00, -15907.00, 1.00, 1.00, 1.00, 1.00
		14625.00, -5000.00, -17503.00, 1.00, 1.00, 1.00, 1.00
		14626.00, -2000.00, -17503.00, 1.00, 1.00, 1.00, 1.00
		13850.00, -5000.00, -19175.00, 1.00, 1.00, 1.00, 1.00
		13850.00, -2000.00, -19175.00, 1.00, 1.00, 1.00, 1.00
		12946.00, -5000.00, -20220.00, 1.00, 1.00, 1.00, 1.00
		12946.00, -2000.00, -20220.00, 1.00, 1.00, 1.00, 1.00
		10806.00, -5000.00, -20910.00, 1.00, 1.00, 1.00, 1.00
		10806.00, -2000.00, -20910.00, 1.00, 1.00, 1.00, 1.00
		7020.00, -5000.00, -21570.00, 1.00, 1.00, 1.00, 1.00
		7020.00, -2000.00, -21570.00, 1.00, 1.00, 1.00, 1.00
		4838.00, -5000.00, -21309.00, 1.00, 1.00, 1.00, 1.00
		4838.00, -2000.00, -21309.00, 1.00, 1.00, 1.00, 1.00
		-669.00, -5000.00, -18849.00, 1.00, 1.00, 1.00, 1.00
		-669.00, -2000.00, -18849.00, 1.00, 1.00, 1.00, 1.00
		-2782.00, -5000.00, -17607.00, 1.00, 1.00, 1.00, 1.00
		-2782.00, -2000.00, -17607.00, 1.00, 1.00, 1.00, 1.00
		-8477.00, -5000.00, -17801.00, 1.00, 1.00, 1.00, 1.00
		-8477.00, -2000.00, -17801.00, 1.00, 1.00, 1.00, 1.00
		-16375.00, -5000.00, -19010.00, 1.00, 1.00, 1.00, 1.00
		-16375.00, -2000.00, -19010.00, 1.00, 1.00, 1.00, 1.00
		-18365.00, -5000.00, -19084.00, 1.00, 1.00, 1.00, 1.00
		-18365.00, -2000.00, -19084.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
	END_VERTEXINFO
END_FIELDSET

END_SCRIPT
