#==============================================================================
#
# シーンデータスクリプト
# Author : masayasu wakita
#
#==============================================================================
SCRIPT

FIELDSET
	POS = 0.00 0.00 0.00
	VERTEXINFO
		-10373.67, 2300.00, 16531.24, 1.00, 1.00, 1.00, 1.00
		-11252.00, 1500.00, 16949.35, 1.00, 1.00, 1.00, 1.00
		-11252.00, 2300.00, 16949.35, 1.00, 1.00, 1.00, 1.00
		-12262.75, 1500.00, 16933.20, 1.00, 1.00, 1.00, 1.00
		-12262.75, 2300.00, 16933.20, 1.00, 1.00, 1.00, 1.00
		-13006.92, 1500.00, 15634.08, 1.00, 1.00, 1.00, 1.00
		-13006.92, 2300.00, 15634.08, 1.00, 1.00, 1.00, 1.00
		-13265.25, 500.00, 9706.40, 1.00, 1.00, 1.00, 1.00
		-13265.25, 1500.00, 9706.40, 1.00, 1.00, 1.00, 1.00
		-11624.25, 500.00, 7360.87, 1.00, 1.00, 1.00, 1.00
		-11624.25, 1500.00, 7360.87, 1.00, 1.00, 1.00, 1.00
		-9504.18, 500.00, 7354.74, 1.00, 1.00, 1.00, 1.00
		-9504.18, 1500.00, 7354.74, 1.00, 1.00, 1.00, 1.00
		-7906.07, 500.00, 6352.65, 1.00, 1.00, 1.00, 1.00
		-7906.07, 1500.00, 6352.65, 1.00, 1.00, 1.00, 1.00
		-7396.33, 500.00, 4552.00, 1.00, 1.00, 1.00, 1.00
		-7396.33, 1500.00, 4552.00, 1.00, 1.00, 1.00, 1.00
		-7394.00, 500.00, 2140.00, 1.00, 1.00, 1.00, 1.00
		-7394.00, 1500.00, 2140.00, 1.00, 1.00, 1.00, 1.00
		-7810.00, 500.00, 1011.00, 1.00, 1.00, 1.00, 1.00
		-7810.00, 1500.00, 1011.00, 1.00, 1.00, 1.00, 1.00
		-8386.00, 200.00, 399.00, 1.00, 1.00, 1.00, 1.00
		-8386.00, 1500.00, 399.00, 1.00, 1.00, 1.00, 1.00
		-9247.00, 200.00, -71.00, 1.00, 1.00, 1.00, 1.00
		-9247.00, 1500.00, -71.00, 1.00, 1.00, 1.00, 1.00
		-9975.00, 200.00, -888.00, 1.00, 1.00, 1.00, 1.00
		-9975.00, 1500.00, -888.00, 1.00, 1.00, 1.00, 1.00
		-9986.00, -200.00, -4571.00, 1.00, 1.00, 1.00, 1.00
		-9986.00, 700.00, -4571.00, 1.00, 1.00, 1.00, 1.00
		-9670.00, 0.00, -7893.00, 1.00, 1.00, 1.00, 1.00
		-9670.00, 500.00, -7893.00, 1.00, 1.00, 1.00, 1.00
		-9912.00, 20.00, -11675.00, 1.00, 1.00, 1.00, 1.00
		-9912.00, 1220.00, -11675.00, 1.00, 1.00, 1.00, 1.00
		-12995.00, 800.00, -12613.00, 1.00, 1.00, 1.00, 1.00
		-12995.00, 2000.00, -12613.00, 1.00, 1.00, 1.00, 1.00
		-16336.00, 800.00, -12544.00, 1.00, 1.00, 1.00, 1.00
		-16336.00, 2000.00, -12544.00, 1.00, 1.00, 1.00, 1.00
		-17284.00, 800.00, -12976.00, 1.00, 1.00, 1.00, 1.00
		-17284.00, 2000.00, -12976.00, 1.00, 1.00, 1.00, 1.00
		-16279.00, 800.00, -13990.00, 1.00, 1.00, 1.00, 1.00
		-16279.00, 2000.00, -13990.00, 1.00, 1.00, 1.00, 1.00
		-15020.00, 200.00, -14794.00, 1.00, 1.00, 1.00, 1.00
		-15020.00, 1500.00, -14794.00, 1.00, 1.00, 1.00, 1.00
		-12008.00, 20.00, -15249.00, 1.00, 1.00, 1.00, 1.00
		-12008.00, 1200.00, -15249.00, 1.00, 1.00, 1.00, 1.00
		-9394.00, 20.00, -18924.00, 1.00, 1.00, 1.00, 1.00
		-9394.00, 1200.00, -18924.00, 1.00, 1.00, 1.00, 1.00
		-10903.00, 20.00, -23115.00, 1.00, 1.00, 1.00, 1.00
		-10903.00, 1200.00, -23115.00, 1.00, 1.00, 1.00, 1.00
		-13533.00, 0.00, -25610.00, 1.00, 1.00, 1.00, 1.00
		-13533.00, 1200.00, -25610.00, 1.00, 1.00, 1.00, 1.00
		-19153.00, 50.00, -26949.00, 1.00, 1.00, 1.00, 1.00
		-19153.00, 1100.00, -26949.00, 1.00, 1.00, 1.00, 1.00
		-22207.00, -200.00, -25525.00, 1.00, 1.00, 1.00, 1.00
		-22207.00, 1040.00, -25525.00, 1.00, 1.00, 1.00, 1.00
		-21617.00, -200.00, -22667.00, 1.00, 1.00, 1.00, 1.00
		-21617.00, 1100.00, -22667.00, 1.00, 1.00, 1.00, 1.00
		-21250.00, 1300.00, -17459.00, 1.00, 1.00, 1.00, 1.00
		-21250.00, 2800.00, -17459.00, 1.00, 1.00, 1.00, 1.00
		-22425.00, 1400.00, -15526.00, 1.00, 1.00, 1.00, 1.00
		-22425.00, 2600.00, -15526.00, 1.00, 1.00, 1.00, 1.00
		-24909.00, 0.00, -16098.00, 1.00, 1.00, 1.00, 1.00
		-24906.00, 1200.00, -16098.00, 1.00, 1.00, 1.00, 1.00
		-29406.00, -800.00, -15990.00, 1.00, 1.00, 1.00, 1.00
		-29406.00, 1600.00, -15990.00, 1.00, 1.00, 1.00, 1.00
		-32669.00, -800.00, -11848.00, 1.00, 1.00, 1.00, 1.00
		-32669.00, 1500.00, -11848.00, 1.00, 1.00, 1.00, 1.00
		-27986.00, 800.00, -8221.00, 1.00, 1.00, 1.00, 1.00
		-27986.00, 2000.00, -8221.00, 1.00, 1.00, 1.00, 1.00
		-24771.00, 800.00, -7504.00, 1.00, 1.00, 1.00, 1.00
		-24771.00, 2000.00, -7504.00, 1.00, 1.00, 1.00, 1.00
		-23144.00, 800.00, -8444.00, 1.00, 1.00, 1.00, 1.00
		-23144.00, 2000.00, -8444.00, 1.00, 1.00, 1.00, 1.00
		-21300.00, 800.00, -8144.00, 1.00, 1.00, 1.00, 1.00
		-21300.00, 2000.00, -8144.00, 1.00, 1.00, 1.00, 1.00
		-19468.00, 800.00, -9772.00, 1.00, 1.00, 1.00, 1.00
		-19468.00, 2000.00, -9772.00, 1.00, 1.00, 1.00, 1.00
		-21798.00, 800.00, -10947.00, 1.00, 1.00, 1.00, 1.00
		-21798.00, 2000.00, -10947.00, 1.00, 1.00, 1.00, 1.00
		-23537.00, 800.00, -10581.00, 1.00, 1.00, 1.00, 1.00
		-23537.00, 2000.00, -10581.00, 1.00, 1.00, 1.00, 1.00
		-25760.00, 800.00, -9720.00, 1.00, 1.00, 1.00, 1.00
		-25760.00, 2000.00, -9720.00, 1.00, 1.00, 1.00, 1.00
		-28271.00, -800.00, -11871.00, 1.00, 1.00, 1.00, 1.00
		-28271.00, 600.00, -11871.00, 1.00, 1.00, 1.00, 1.00
		-27516.00, -900.00, -12928.00, 1.00, 1.00, 1.00, 1.00
		-27516.00, 700.00, -12928.00, 1.00, 1.00, 1.00, 1.00
		-20880.00, 1100.00, -13630.00, 1.00, 1.00, 1.00, 1.00
		-20880.00, 2300.00, -13630.00, 1.00, 1.00, 1.00, 1.00
		-19068.00, 1500.00, -15875.00, 1.00, 1.00, 1.00, 1.00
		-19068.00, 2800.00, -15875.00, 1.00, 1.00, 1.00, 1.00
		-18570.00, 100.00, -22171.00, 1.00, 1.00, 1.00, 1.00
		-18570.00, 1400.00, -22171.00, 1.00, 1.00, 1.00, 1.00
		-19606.00, 200.00, -24653.00, 1.00, 1.00, 1.00, 1.00
		-19606.00, 1400.00, -24653.00, 1.00, 1.00, 1.00, 1.00
		-18362.00, 0.00, -24745.00, 1.00, 1.00, 1.00, 1.00
		-18362.00, 1000.00, -24745.00, 1.00, 1.00, 1.00, 1.00
		-15335.00, 0.00, -24085.00, 1.00, 1.00, 1.00, 1.00
		-15335.00, 1000.00, -24085.00, 1.00, 1.00, 1.00, 1.00
		-13017.00, 0.00, -22057.00, 1.00, 1.00, 1.00, 1.00
		-13017.00, 1000.00, -22057.00, 1.00, 1.00, 1.00, 1.00
		-12849.00, 0.00, -19504.00, 1.00, 1.00, 1.00, 1.00
		-12849.00, 1000.00, -19504.00, 1.00, 1.00, 1.00, 1.00
		-13003.00, 0.00, -18111.00, 1.00, 1.00, 1.00, 1.00
		-13003.00, 1000.00, -18111.00, 1.00, 1.00, 1.00, 1.00
		-13640.00, 0.00, -17438.00, 1.00, 1.00, 1.00, 1.00
		-13640.00, 1000.00, -17438.00, 1.00, 1.00, 1.00, 1.00
		-15912.00, 300.00, -17015.00, 1.00, 1.00, 1.00, 1.00
		-15912.00, 1600.00, -17015.00, 1.00, 1.00, 1.00, 1.00
		-18952.00, 900.00, -15460.00, 1.00, 1.00, 1.00, 1.00
		-18952.00, 2100.00, -15460.00, 1.00, 1.00, 1.00, 1.00
		-19554.00, 900.00, -12250.00, 1.00, 1.00, 1.00, 1.00
		-19554.00, 2100.00, -12250.00, 1.00, 1.00, 1.00, 1.00
		-16857.00, 900.00, -10298.00, 1.00, 1.00, 1.00, 1.00
		-16857.00, 2100.00, -10298.00, 1.00, 1.00, 1.00, 1.00
		-13898.00, 900.00, -10522.00, 1.00, 1.00, 1.00, 1.00
		-13898.00, 2100.00, -10522.00, 1.00, 1.00, 1.00, 1.00
		-12361.00, 0.00, -10070.00, 1.00, 1.00, 1.00, 1.00
		-12361.00, 1200.00, -10070.00, 1.00, 1.00, 1.00, 1.00
		-11780.00, -265.00, -7731.00, 1.00, 1.00, 1.00, 1.00
		-11780.00, 1065.00, -7731.00, 1.00, 1.00, 1.00, 1.00
		-11773.00, -300.00, -4566.00, 1.00, 1.00, 1.00, 1.00
		-11773.00, 1000.00, -4566.00, 1.00, 1.00, 1.00, 1.00
		-11771.00, 300.00, -538.00, 1.00, 1.00, 1.00, 1.00
		-11771.00, 1600.00, -538.00, 1.00, 1.00, 1.00, 1.00
		-11115.00, 400.00, 351.00, 1.00, 1.00, 1.00, 1.00
		-11115.00, 1600.00, 351.00, 1.00, 1.00, 1.00, 1.00
		-10227.00, 400.00, 851.00, 1.00, 1.00, 1.00, 1.00
		-10227.00, 1700.00, 851.00, 1.00, 1.00, 1.00, 1.00
		-9443.00, 400.00, 1512.00, 1.00, 1.00, 1.00, 1.00
		-9443.00, 1700.00, 1512.00, 1.00, 1.00, 1.00, 1.00
		-9010.00, 400.00, 2154.00, 1.00, 1.00, 1.00, 1.00
		-9010.00, 1700.00, 2154.00, 1.00, 1.00, 1.00, 1.00
		-9009.00, 400.00, 4441.00, 1.00, 1.00, 1.00, 1.00
		-9009.00, 1700.00, 4441.00, 1.00, 1.00, 1.00, 1.00
		-9209.00, 400.00, 5444.00, 1.00, 1.00, 1.00, 1.00
		-9209.00, 1700.00, 5444.00, 1.00, 1.00, 1.00, 1.00
		-10365.00, 400.00, 5980.00, 1.00, 1.00, 1.00, 1.00
		-10365.00, 1700.00, 5980.00, 1.00, 1.00, 1.00, 1.00
		-12376.00, 400.00, 5931.00, 1.00, 1.00, 1.00, 1.00
		-12376.00, 1700.00, 5931.00, 1.00, 1.00, 1.00, 1.00
		-14431.00, 400.00, 8624.00, 1.00, 1.00, 1.00, 1.00
		-14431.00, 1700.00, 8624.00, 1.00, 1.00, 1.00, 1.00
		-14568.00, 1600.00, 15789.00, 1.00, 1.00, 1.00, 1.00
		-14568.00, 3000.00, 15789.00, 1.00, 1.00, 1.00, 1.00
		-13184.00, 1600.00, 18163.00, 1.00, 1.00, 1.00, 1.00
		-13184.00, 3000.00, 18163.00, 1.00, 1.00, 1.00, 1.00
		-11770.00, 1600.00, 18746.00, 1.00, 1.00, 1.00, 1.00
		-11770.00, 3000.00, 18746.00, 1.00, 1.00, 1.00, 1.00
		-9181.00, 1600.00, 17806.00, 1.00, 1.00, 1.00, 1.00
		-9181.00, 3000.00, 17806.00, 1.00, 1.00, 1.00, 1.00
		-8343.00, 400.00, 13442.00, 1.00, 1.00, 1.00, 1.00
		-8343.00, 1700.00, 13442.00, 1.00, 1.00, 1.00, 1.00
		-7709.00, 300.00, 12156.00, 1.00, 1.00, 1.00, 1.00
		-7709.00, 1600.00, 12156.00, 1.00, 1.00, 1.00, 1.00
		-6200.00, 300.00, 11497.00, 1.00, 1.00, 1.00, 1.00
		-6200.00, 1600.00, 11497.00, 1.00, 1.00, 1.00, 1.00
		-4656.00, 300.00, 11345.00, 1.00, 1.00, 1.00, 1.00
		-4656.00, 1600.00, 11345.00, 1.00, 1.00, 1.00, 1.00
		-3485.00, 300.00, 12235.00, 1.00, 1.00, 1.00, 1.00
		-3485.00, 1600.00, 12235.00, 1.00, 1.00, 1.00, 1.00
		-3623.00, 300.00, 13333.00, 1.00, 1.00, 1.00, 1.00
		-3623.00, 1600.00, 13333.00, 1.00, 1.00, 1.00, 1.00
		-3482.00, 300.00, 15194.00, 1.00, 1.00, 1.00, 1.00
		-3482.00, 1600.00, 15194.00, 1.00, 1.00, 1.00, 1.00
		-5713.00, 300.00, 17646.00, 1.00, 1.00, 1.00, 1.00
		-5713.00, 1600.00, 17646.00, 1.00, 1.00, 1.00, 1.00
		-5717.00, 300.00, 19728.00, 1.00, 1.00, 1.00, 1.00
		-5717.00, 1600.00, 19728.00, 1.00, 1.00, 1.00, 1.00
		-5093.00, 300.00, 21664.00, 1.00, 1.00, 1.00, 1.00
		-5093.00, 1600.00, 21664.00, 1.00, 1.00, 1.00, 1.00
		-2310.00, 300.00, 21969.00, 1.00, 1.00, 1.00, 1.00
		-2310.00, 1600.00, 21969.00, 1.00, 1.00, 1.00, 1.00
		210.00, 300.00, 21611.00, 1.00, 1.00, 1.00, 1.00
		210.00, 1600.00, 21611.00, 1.00, 1.00, 1.00, 1.00
		1705.00, 300.00, 19432.00, 1.00, 1.00, 1.00, 1.00
		1705.00, 1600.00, 19432.00, 1.00, 1.00, 1.00, 1.00
		1973.00, 300.00, 18195.00, 1.00, 1.00, 1.00, 1.00
		1973.00, 1600.00, 18195.00, 1.00, 1.00, 1.00, 1.00
		2212.00, -220.00, 10449.00, 1.00, 1.00, 1.00, 1.00
		2212.00, 1020.00, 10449.00, 1.00, 1.00, 1.00, 1.00
		4928.00, -220.00, 9768.00, 1.00, 1.00, 1.00, 1.00
		4928.00, 1020.00, 9768.00, 1.00, 1.00, 1.00, 1.00
		5354.00, -220.00, 7418.00, 1.00, 1.00, 1.00, 1.00
		5354.00, 1020.00, 7418.00, 1.00, 1.00, 1.00, 1.00
		4113.00, -220.00, 5038.00, 1.00, 1.00, 1.00, 1.00
		4113.00, 1020.00, 5038.00, 1.00, 1.00, 1.00, 1.00
		1479.00, -220.00, 5007.00, 1.00, 1.00, 1.00, 1.00
		1479.00, 1020.00, 5007.00, 1.00, 1.00, 1.00, 1.00
		1035.00, -220.00, 4194.00, 1.00, 1.00, 1.00, 1.00
		1035.00, 1020.00, 4194.00, 1.00, 1.00, 1.00, 1.00
		691.00, -220.00, -997.00, 1.00, 1.00, 1.00, 1.00
		691.00, 1020.00, -997.00, 1.00, 1.00, 1.00, 1.00
		-1240.66, -50.00, -921.96, 1.00, 1.00, 1.00, 1.00
		-1240.66, 500.00, -921.96, 1.00, 1.00, 1.00, 1.00
	END_VERTEXINFO
END_FIELDSET

END_SCRIPT
